"","par_num","selfish","packtype","include1"
"450",3322,1,0,1
"451",3412,0,1,1
"452",3413,0,1,1
"453",3414,1,0,1
"454",3422,0,0,1
"455",3512,1,1,1
"456",3513,1,1,1
"457",3514,0,0,1
"458",3522,1,0,1
"459",3612,1,1,1
"460",3613,1,1,1
"461",3614,1,0,1
"462",3622,1,0,1
"463",3712,1,1,1
"464",3713,1,1,1
"465",3714,1,0,1
"466",3722,0,0,1
"467",3814,1,0,1
"468",3822,0,0,1
"469",3912,1,1,1
"470",3913,1,1,1
"471",3914,1,0,1
"472",3922,1,0,1
"473",4012,0,1,1
"474",4013,1,1,1
"475",4014,1,0,1
"476",4022,0,0,1
"477",4112,0,1,1
"478",4113,0,1,1
"479",4114,0,0,1
"480",4122,1,0,1
"481",4212,0,1,1
"482",4213,1,1,1
"483",4214,0,0,1
"484",4222,0,0,1
"485",4312,0,1,1
"486",4313,1,1,1
"487",4314,1,0,1
"488",4322,0,0,1
"489",4412,0,1,1
"490",4413,0,1,1
"491",4414,1,0,1
"492",4422,0,0,1
"493",4512,0,1,1
"494",4513,1,1,1
"495",4522,0,0,1
"496",4613,1,1,1
"497",4614,1,0,1
"498",4622,1,0,1
"499",4712,1,1,1
"500",4714,0,0,1
"501",4722,0,0,1
"502",4812,0,1,1
"503",4813,1,1,1
"504",4814,1,0,1
"505",4912,0,1,1
"506",4913,0,1,1
"507",4922,0,0,1
"508",5012,0,1,1
"509",5013,0,1,1
"510",5014,1,0,1
"511",5022,0,0,1
"512",5113,1,1,1
"513",5114,1,0,1
"514",5122,0,0,1
"515",5212,1,1,1
"516",5213,0,1,1
"517",5214,0,0,1
"518",5222,1,0,1
"519",5312,1,1,1
"520",5313,1,1,1
"521",5314,1,0,1
"522",5322,0,0,1
"523",5412,0,1,1
"524",5413,1,1,1
"525",5422,0,0,1
"526",5512,1,1,1
"527",5513,1,1,1
"528",5514,0,0,1
"529",5522,1,0,1
"530",5612,1,1,1
"531",5613,1,1,1
"532",5614,1,0,1
"533",5622,0,0,1
"534",5712,1,1,1
"535",5812,0,1,1
"536",5813,0,1,1
"537",5814,0,0,1
"538",5822,0,0,1
"539",5912,1,1,1
"540",5913,1,1,1
"541",5914,0,0,1
"542",5922,1,0,1
"543",6012,0,1,1
"544",6013,0,1,1
"545",6014,0,0,1
"546",6022,1,0,1
"547",6112,1,1,1
"548",6113,0,1,1
"549",6114,0,0,1
"550",6122,1,0,1
"551",6212,0,1,1
"552",6313,0,1,1
"553",6314,1,0,1
"554",6413,0,1,1
"555",6422,0,0,1
"556",6514,1,0,1
"565",1001,1,0,1
"566",1003,1,0,1
"567",1005,1,0,1
"568",1007,1,0,1
"569",1009,1,0,1
"570",1011,0,0,1
"571",1013,1,0,1
"572",1015,1,0,1
"573",1017,1,0,1
"575",1021,0,0,1
"576",1023,1,0,1
"577",1025,1,0,1
"578",1027,1,0,1
"579",1029,0,0,1
"580",1032,1,0,1
"581",1034,0,0,1
"582",1036,0,0,1
"583",1038,1,0,1
"584",1039,1,0,1
"585",1041,0,0,1
"586",1043,0,0,1
"587",1045,0,0,1
"588",1047,0,0,1
"589",1049,1,0,1
"590",1051,1,0,1
"591",1053,1,0,1
"592",1055,1,0,1
"593",1057,1,0,1
"594",1060,1,0,1
"595",1062,1,0,1
"597",1065,1,0,1
"598",1067,1,0,1
"599",1069,1,0,1
"600",1071,1,0,1
"601",1073,1,0,1
"602",1074,0,0,1
"603",1076,1,0,1
"604",1080,0,0,1
"605",1082,0,0,1
"606",1084,1,0,1
"607",1086,1,0,1
"608",1089,1,0,1
"609",1090,1,0,1
"610",1092,0,0,1
"611",1096,1,0,1
"612",1098,1,0,1
"613",1100,0,0,1
"614",1102,1,0,1
"615",1104,0,0,1
"616",1106,1,0,1
"617",1108,1,0,1
"618",1112,0,0,1
"619",1114,1,0,1
"620",1116,0,0,1
"621",1118,0,0,1
"622",1122,1,0,1
"623",1124,0,0,1
"624",1127,1,0,1
"625",1129,1,0,1
"626",1131,1,0,1
"627",1134,0,0,1
"628",1135,0,0,1
"629",1138,0,0,1
"630",1140,1,0,1
"631",1142,1,0,1
"632",1144,0,0,1
"633",1146,0,0,1
"634",1200,0,0,1
"635",1203,1,0,1
"636",1208,1,0,1
"637",1210,1,0,1
"638",1212,1,0,1
"639",1214,0,0,1
"640",1215,0,0,1
"641",1217,1,0,1
"642",1219,0,0,1
"643",1221,1,0,1
"644",1223,1,0,1
"645",1225,0,0,1
"646",1227,1,0,1
"647",1234,0,0,1
"648",1236,1,0,1
"649",1238,1,0,1
"650",1240,1,0,1
"652",1243,1,0,1
"653",1245,0,0,1
"654",1247,1,0,1
"655",1249,1,0,1
"656",1251,1,0,1
"657",1255,1,0,1
"658",1259,1,0,1
"659",1276,1,0,1
"660",1504,0,0,1
"661",1506,0,0,1
"662",1508,1,0,1
"663",1510,1,0,1
"664",1512,0,0,1
"665",1517,0,0,1
"666",1518,1,0,1
"667",1520,1,0,1
"668",1522,1,0,1
"669",1523,0,0,1
"670",1525,1,0,1
"671",1537,0,0,1
"672",1539,0,0,1
"673",1541,1,0,1
"674",1543,0,0,1
"675",1545,0,0,1
"676",1547,1,0,1
"677",1549,0,0,1
"678",1551,0,0,1
"679",1553,0,0,1
"680",1555,1,0,1
"681",1557,1,0,1
"682",1573,0,0,1
"683",1575,1,0,1
"684",1578,1,0,1
"685",1579,1,0,1
"686",1581,0,0,1
"687",1581,1,0,1
"688",1583,1,0,1
"689",1585,1,0,1
"690",1587,1,0,1
"691",1589,0,0,1
"692",1591,1,0,1
"693",1593,1,0,1
"694",1595,0,0,1
"695",1597,1,0,1
"696",1599,1,0,1
"697",1601,0,0,1
"698",1603,0,0,1
"699",1605,0,0,1
"700",1900,1,0,1
"701",1902,0,0,1
"702",1904,1,0,1
"703",1908,0,0,1
"704",1911,1,0,1
"705",1912,0,0,1
"706",1914,0,0,1
"717",1002,1,1,1
"718",1004,1,1,1
"719",1006,0,1,1
"720",1008,1,1,1
"721",1010,0,1,1
"722",1012,0,1,1
"724",1016,0,1,1
"725",1018,1,1,1
"726",1020,1,1,1
"727",1022,1,1,1
"728",1024,1,1,1
"729",1028,1,1,1
"730",1030,0,1,1
"731",1031,0,1,1
"732",1033,1,1,1
"733",1035,0,1,1
"734",1037,1,1,1
"735",1040,1,1,1
"736",1042,1,1,1
"737",1044,0,1,1
"738",1046,1,1,1
"739",1048,1,1,1
"740",1050,1,1,1
"741",1052,0,1,1
"742",1054,1,1,1
"743",1056,1,1,1
"744",1058,0,1,1
"745",1059,0,1,1
"746",1061,1,1,1
"747",1064,0,1,1
"748",1066,1,1,1
"749",1068,1,1,1
"750",1070,1,1,1
"751",1072,1,1,1
"752",1075,1,1,1
"753",1077,1,1,1
"754",1079,1,1,1
"755",1081,1,1,1
"756",1083,1,1,1
"757",1085,1,1,1
"758",1087,1,1,1
"759",1088,0,1,1
"760",1091,1,1,1
"761",1093,1,1,1
"762",1097,1,1,1
"763",1099,1,1,1
"764",1101,1,1,1
"765",1103,0,1,1
"766",1105,0,1,1
"767",1107,1,1,1
"768",1109,1,1,1
"769",1111,1,1,1
"770",1113,1,1,1
"771",1114,1,1,1
"772",1117,1,1,1
"773",1119,1,1,1
"774",1121,1,1,1
"775",1123,0,1,1
"776",1125,1,1,1
"777",1126,1,1,1
"778",1128,1,1,1
"779",1130,1,1,1
"780",1132,0,1,1
"781",1133,0,1,1
"782",1136,1,1,1
"783",1137,0,1,1
"784",1139,0,1,1
"785",1141,1,1,1
"786",1143,1,1,1
"787",1145,1,1,1
"788",1201,1,1,1
"790",1205,0,1,1
"791",1207,1,1,1
"792",1209,1,1,1
"793",1211,1,1,1
"794",1213,1,1,1
"795",1216,1,1,1
"796",1218,1,1,1
"797",1220,1,1,1
"798",1222,0,1,1
"799",1224,1,1,1
"800",1226,0,1,1
"801",1228,0,1,1
"802",1231,0,1,1
"803",1235,1,1,1
"804",1237,0,1,1
"805",1239,1,1,1
"806",1241,1,1,1
"807",1244,1,1,1
"808",1246,1,1,1
"809",1248,1,1,1
"810",1250,1,1,1
"811",1254,1,1,1
"812",1256,1,1,1
"813",1266,1,1,1
"814",1503,0,1,1
"815",1507,1,1,1
"816",1509,0,1,1
"817",1513,0,1,1
"818",1515,1,1,1
"819",1519,0,1,1
"820",1521,1,1,1
"821",1524,0,1,1
"822",1536,0,1,1
"823",1538,1,1,1
"824",1540,0,1,1
"825",1542,1,1,1
"826",1544,0,1,1
"827",1546,1,1,1
"828",1548,0,1,1
"829",1550,0,1,1
"830",1552,1,1,1
"831",1554,0,1,1
"832",1556,0,1,1
"833",1558,1,1,1
"834",1559,1,1,1
"835",1560,1,1,1
"836",1572,0,1,1
"837",1574,1,1,1
"838",1576,1,1,1
"839",1577,1,1,1
"840",1580,0,1,1
"841",1580,0,1,1
"842",1582,1,1,1
"843",1582,0,1,1
"844",1584,1,1,1
"845",1586,1,1,1
"846",1588,1,1,1
"847",1590,1,1,1
"848",1592,0,1,1
"849",1594,1,1,1
"850",1596,1,1,1
"851",1598,1,1,1
"852",1600,0,1,1
"853",1602,1,1,1
"854",1604,1,1,1
"855",1901,0,1,1
"856",1903,0,1,1
"857",1905,0,1,1
"858",1909,1,1,1
"859",1910,1,1,1
"860",1913,1,1,1
"861",1915,1,1,1
